LoanID,Age,Income,LoanAmount,CreditScore,InterestRate,DTIRatio,Risk_Category,DefaultStatus,Income_Segment,Loan_Size_Category,Customer_Age_Group,Compliance_Status
I38PQUQS96,56,85994.00,50587.00,520,15.23,0.44,"Medium Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
HPSK72WA7R,69,50432.00,124440.00,458,4.81,0.68,"High Risk",0,"Middle Income","Medium Loan","Senior Customers","Policy Exception"
C1OZ6DPJ8Y,46,84208.00,129188.00,451,21.17,0.31,"Low Risk",1,"High Income","Medium Loan","Middle Age Customers","Policy Exception"
V2KKSFM3UN,32,31713.00,44799.00,743,7.07,0.23,"Low Risk",0,"Middle Income","Small Loan","Middle Age Customers",Compliant
EY08JDHTZP,60,20437.00,9139.00,633,6.51,0.73,"Low Risk",0,"Low Income","Small Loan","Senior Customers",Compliant
A9S62RQ7US,25,90298.00,90448.00,720,22.72,0.10,"Low Risk",1,"High Income","Medium Loan","Young Customers",Compliant
H8GXPAOS71,38,111188.00,177025.00,429,19.11,0.16,"Low Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
0HGZQKJ36W,56,126802.00,155511.00,531,8.15,0.43,"Medium Risk",0,"High Income","Large Loan","Senior Customers",Compliant
1R0N3LGNRJ,36,42053.00,92357.00,827,23.94,0.20,"Low Risk",1,"Middle Income","Medium Loan","Middle Age Customers",Compliant
CM9L1GTT2P,40,132784.00,228510.00,480,9.09,0.33,"Low Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
IA35XVH6ZO,28,140466.00,163781.00,652,9.08,0.23,"Low Risk",0,"High Income","Large Loan","Young Customers",Compliant
Y8UETC3LSG,28,149227.00,139759.00,375,5.84,0.80,"High Risk",1,"High Income","Medium Loan","Young Customers","Policy Exception"
RM6QSRHIYP,41,23265.00,63527.00,829,9.73,0.45,"Low Risk",0,"Low Income","Medium Loan","Middle Age Customers",Compliant
GX5YQOGROM,53,117550.00,95744.00,395,3.58,0.73,"High Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
X0BVPZLDC0,57,139699.00,88143.00,635,5.63,0.20,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
O5DM5MPPNA,41,74064.00,230883.00,432,5.00,0.89,"High Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
ZDDRGVTEXS,20,119704.00,25697.00,313,9.63,0.28,"Low Risk",0,"High Income","Small Loan","Young Customers",Compliant
9V0FJW7QPB,39,33015.00,10889.00,811,13.56,0.66,"Low Risk",0,"Middle Income","Small Loan","Middle Age Customers",Compliant
O1IKKLC69B,19,40718.00,78515.00,319,14.00,0.17,"Low Risk",1,"Middle Income","Medium Loan","Young Customers",Compliant
F7487UU2BF,41,123419.00,161146.00,376,16.96,0.39,"Low Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
7ASF0IHRIT,61,30142.00,133714.00,429,15.58,0.65,"High Risk",0,"Middle Income","Medium Loan","Senior Customers","Policy Exception"
A22KI1B6SE,47,146113.00,100621.00,419,9.32,0.38,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers","Policy Exception"
1MUSHWD9TW,55,132058.00,130912.00,583,5.82,0.47,"Medium Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
LXK7UEMLK0,19,118989.00,123300.00,528,15.29,0.22,"Low Risk",1,"High Income","Medium Loan","Young Customers",Compliant
995RE1TIB4,38,56848.00,168918.00,468,19.10,0.22,"Low Risk",0,"Middle Income","Large Loan","Middle Age Customers","Policy Exception"
D17PDP8LBL,50,81649.00,78193.00,839,21.41,0.50,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
C35RYEXWJ0,29,114651.00,197648.00,343,21.07,0.19,"Low Risk",0,"High Income","Large Loan","Young Customers","Policy Exception"
G8AIMX5E52,39,17633.00,167105.00,514,7.86,0.66,"Low Risk",1,"Low Income","Large Loan","Middle Age Customers",Compliant
BJNLQ0H95H,61,62519.00,29676.00,462,23.91,0.12,"Low Risk",0,"Middle Income","Small Loan","Senior Customers",Compliant
YIGLFWKNH5,42,141412.00,197764.00,580,10.18,0.19,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
GAA8OQN796,66,39568.00,58945.00,604,6.67,0.10,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
P3EX8G0AYT,44,100284.00,225403.00,551,18.77,0.17,"Low Risk",1,"High Income","Large Loan","Middle Age Customers",Compliant
KD97QJJFD8,59,102292.00,55337.00,840,16.11,0.44,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
O8G74YT5W3,45,85673.00,48773.00,787,22.42,0.82,"Low Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
1CW0O8WTLF,33,92448.00,66282.00,607,11.31,0.43,"Medium Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
PBQO9E6L9D,32,102178.00,179279.00,669,14.98,0.78,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
8NTWNU4HTY,64,102463.00,218433.00,506,9.23,0.86,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
ASYFXCP452,68,85409.00,44772.00,540,2.96,0.17,"Low Risk",0,"High Income","Small Loan","Senior Customers",Compliant
4857M8R0YI,61,26470.00,19818.00,695,20.00,0.69,"Low Risk",0,"Low Income","Small Loan","Senior Customers",Compliant
5FENBP2UV8,69,87295.00,16281.00,707,13.82,0.75,"Low Risk",0,"High Income","Small Loan","Senior Customers",Compliant
EGBQ6R80VB,20,139321.00,43049.00,458,7.16,0.53,"High Risk",1,"High Income","Small Loan","Young Customers",Compliant
RT511ZZNF2,54,21487.00,84115.00,386,20.89,0.78,"High Risk",0,"Low Income","Medium Loan","Senior Customers",Compliant
KAC7P2RE1X,68,111716.00,215851.00,747,18.84,0.40,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
XG5WPXX0TY,24,105732.00,33013.00,400,15.64,0.48,"Low Risk",0,"High Income","Small Loan","Young Customers",Compliant
2XUD7N4OJ1,38,73117.00,221628.00,639,13.05,0.56,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
2O7VM6EN0D,26,125268.00,67671.00,795,11.42,0.30,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
Z7UFZIW3MK,56,24796.00,37657.00,498,8.20,0.73,"High Risk",0,"Low Income","Small Loan","Senior Customers",Compliant
RSP1YD80Z7,35,95963.00,77552.00,560,6.63,0.86,"Low Risk",1,"High Income","Medium Loan","Middle Age Customers",Compliant
AFJTOPMFJV,21,16170.00,66883.00,505,4.41,0.42,"Medium Risk",0,"Low Income","Medium Loan","Young Customers",Compliant
LMQOF5PTTT,42,143244.00,240591.00,393,23.15,0.16,"Low Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
06Q275JKQB,31,103515.00,220032.00,369,22.36,0.81,"High Risk",1,"High Income","Large Loan","Middle Age Customers","Policy Exception"
N3KDA4UM9K,67,100949.00,145906.00,439,3.74,0.58,"High Risk",0,"High Income","Medium Loan","Senior Customers","Policy Exception"
130U8TZ0HW,26,92153.00,214064.00,634,2.34,0.32,"Medium Risk",0,"High Income","Large Loan","Young Customers",Compliant
E9NX4IRVSU,43,70113.00,215064.00,657,6.00,0.76,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
963HFKM3CT,19,24611.00,41605.00,417,15.11,0.59,"High Risk",0,"Low Income","Small Loan","Young Customers",Compliant
QHPWTGMTU8,37,37173.00,234059.00,455,15.12,0.74,"High Risk",0,"Middle Income","Large Loan","Middle Age Customers","Policy Exception"
0T53GR64AD,45,31137.00,158128.00,351,5.40,0.25,"Low Risk",0,"Middle Income","Large Loan","Middle Age Customers","Policy Exception"
DSOB0M5AQ4,64,49565.00,245711.00,655,23.41,0.37,"Medium Risk",0,"Middle Income","Large Loan","Senior Customers",Compliant
PWVQRNYJGA,24,31644.00,75317.00,737,5.65,0.51,"Low Risk",0,"Middle Income","Medium Loan","Young Customers",Compliant
0VEK3DDM69,61,49113.00,222046.00,771,22.80,0.24,"Low Risk",0,"Middle Income","Large Loan","Senior Customers",Compliant
LCBMJZGE8D,25,85814.00,227368.00,669,19.11,0.75,"Low Risk",1,"High Income","Large Loan","Young Customers",Compliant
Z3WJUIM1DZ,64,110606.00,137139.00,669,18.01,0.66,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
YQKG397DX3,52,76136.00,145318.00,775,12.44,0.15,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
HRVBDX8JP7,31,82461.00,222343.00,680,15.70,0.36,"Medium Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
XPEW5QYJ3S,34,37082.00,175274.00,694,15.59,0.38,"Medium Risk",0,"Middle Income","Large Loan","Middle Age Customers",Compliant
092M7Z5Z6M,53,149401.00,245626.00,534,15.82,0.25,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
ZOPZLF57NR,67,77135.00,159839.00,529,4.14,0.41,"Medium Risk",0,"High Income","Large Loan","Senior Customers",Compliant
648L7QUFVO,57,34830.00,63072.00,416,20.34,0.45,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
ZY51VR44DK,21,142860.00,238718.00,318,13.06,0.36,"Low Risk",0,"High Income","Large Loan","Young Customers","Policy Exception"
R8P5YIW07D,19,20236.00,165086.00,411,11.49,0.30,"Low Risk",0,"Low Income","Large Loan","Young Customers","Policy Exception"
MZRL2WMB52,23,17142.00,110469.00,802,12.23,0.71,"Low Risk",0,"Low Income","Medium Loan","Young Customers",Compliant
2PZTROA9LL,59,60000.00,117371.00,305,3.37,0.58,"High Risk",0,"Middle Income","Medium Loan","Senior Customers","Policy Exception"
T4DU8L04DL,21,142986.00,142571.00,674,19.35,0.56,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
NAJL3RHHY2,46,59079.00,122293.00,585,20.25,0.15,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers",Compliant
NGTYRE2V61,35,118725.00,169932.00,750,7.86,0.37,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
5KCTUT4OSE,43,130625.00,17462.00,303,17.91,0.65,"High Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
94DS7MC3PV,61,49191.00,93324.00,487,2.65,0.25,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
TQ5PDEYD4Y,51,46887.00,119386.00,730,17.44,0.47,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
OV5QU0UMJ0,27,23574.00,10480.00,579,3.46,0.86,"Low Risk",0,"Low Income","Small Loan","Young Customers",Compliant
52V7YG8XKT,53,49335.00,187180.00,750,18.31,0.58,"Low Risk",0,"Middle Income","Large Loan","Senior Customers",Compliant
43Z22DZB7Z,31,143837.00,193310.00,658,14.15,0.45,"Medium Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
HZFO5XLXGK,48,99977.00,27219.00,683,3.12,0.75,"Low Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
SQ3MA71EVN,65,80770.00,217916.00,574,20.97,0.49,"Medium Risk",0,"High Income","Large Loan","Senior Customers",Compliant
QTEXRYSK63,32,46238.00,134941.00,421,12.32,0.50,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers","Policy Exception"
42SRSHU039,25,24742.00,219541.00,719,15.21,0.60,"Low Risk",1,"Low Income","Large Loan","Young Customers",Compliant
LVWN4GR2Y4,31,56982.00,223728.00,692,17.93,0.72,"Low Risk",0,"Middle Income","Large Loan","Middle Age Customers",Compliant
VFVJ0MCK4P,40,137937.00,169513.00,542,14.38,0.57,"Low Risk",1,"High Income","Large Loan","Middle Age Customers",Compliant
29VUH2UAD0,57,109000.00,17316.00,453,3.72,0.58,"High Risk",0,"High Income","Small Loan","Senior Customers",Compliant
E0CNQK8RTK,38,59243.00,217215.00,618,23.96,0.43,"Medium Risk",0,"Middle Income","Large Loan","Middle Age Customers",Compliant
XEJB8PXRYA,33,35815.00,166586.00,351,14.96,0.87,"High Risk",0,"Middle Income","Large Loan","Middle Age Customers","Policy Exception"
I7Z9O3RG38,62,138569.00,248333.00,453,14.10,0.44,"Low Risk",0,"High Income","Large Loan","Senior Customers","Policy Exception"
F6NXXQU3B2,35,90042.00,159330.00,659,4.28,0.76,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
